I,psrj,ref,age,edot
1022,J1705-4108,kbm+03,3.93e+05,2.1e+33
1023,J1705-4331,kjv+10,4.95e+07,2.5e+32
1024,J1705-52,bbb+12,*,*
1025,J1705-6135,kjv+10,2.14e+08,4.5e+30
1026,J1706-3839,kbm+03,3.1e+06,5.9e+32
1027,J1706-4310,kbm+03,1.5e+06,1.1e+33
1028,J1706-6118,ebvb01,1.96e+07,2.4e+32
1029,J1707-4053,jlm+92,4.78e+06,3.9e+32
1030,J1707-4341,kbm+03,2.48e+06,3.2e+32
1031,J1707-4417,kle+10,7.84e+06,2.4e+30
1032,J1707-4729,kbm+03,2.71e+06,3.3e+33
1033,J1708-3426,mld+96,2.61e+06,5.0e+32
1034,J1708-3506,kjv+10,3.1e+09,9.9e+33
1035,J1708-3827,kbm+03,2.26e+06,1.8e+32
1036,J1708-4009,snt+97,9.01e+03,5.7e+32
1037,J1708-4522,hfs+04,7.87e+06,4.7e+31
1038,J1708-7539,mlt+78,1e+07,4.4e+31
1039,J1709-1640,lvw69b,1.64e+06,8.9e+32
1040,J1709+2313,fcwa95,2.02e+10,1.4e+33
1041,J1709-3626,kbm+03,3.13e+06,1.0e+33
1042,J1709-3841,mlc+01,1.18e+06,1.5e+33
1043,J1709-4342,kbm+03,3.44e+07,6.0e+30
1044,J1709-4401,bbb+12,1.86e+06,4.5e+32
1045,J1709-4429,jlm+92,1.75e+04,3.4e+36
1046,J1710-2616,bbb+12,7.56e+08,9.1e+29
1047,J1710-4148,kbm+03,4.45e+07,1.7e+32
1048,J1711-1509,dtws85,1.25e+07,6.6e+31
1049,J1711-3826,kbm+03,9.95e+05,2.9e+33
1050,J1711-4322,lfl+06,6.1e+07,9.7e+32
1051,J1711-5350,mlt+78,9.2e+05,8.4e+32
1052,J1712-2715,ebvb01,3.16e+06,3.0e+33
1053,J1712-391,bri+06,*,*
1054,J1712-392,bri+06,*,*
1055,J1713+0747,fwc93,8.49e+09,3.5e+33
1056,J1713-3844,kbm+03,1.43e+05,1.7e+33
1057,J1713-3949,cpkm02,*,*
1058,J1714-1054,jbo+09,1.88e+08,6.9e+30
1059,J1714-3810,hg10a,1.03e+03,4.1e+34
1060,J1715-3247,kel+09,2.17e+08,1.8e+30
1061,J1715-3700,mlc+01,8.47e+07,1.2e+31
1062,J1715-3859,lfl+06,3.34e+06,2.2e+32
1063,J1715-3903,kbm+03,1.17e+05,6.9e+34
1064,J1715-4034,kbm+03,1.09e+07,1.3e+31
1065,J1715-4254,hfs+04,1.04e+07,1.8e+32
1066,J1716-3720,mlc+01,5.56e+05,2.8e+33
1067,J1716-4005,eklk13,1.72e+06,3.7e+33
1068,J1716-4111,kel+09,5.7e+06,1.0e+32
1069,J1716-4711,bbb+12,1.06e+07,1.9e+32
1070,J1717-3425,jlm+92,1.06e+06,1.4e+33
1071,J1717-3737,kbm+03,2.04e+06,6.6e+32
1072,J1717-3847,kbm+03,2.22e+07,2.1e+31
1073,J1717-3953,lfl+06,5.21e+08,1.0e+30
1074,J1717-4043,kbm+03,5.15e+05,7.7e+33
1075,J1717-40433,kbm+03,3.17e+06,1.6e+33
1076,J1717-4054,jlm+92,*,*
1077,J1717-5800,ebvb01,2.61e+07,2.3e+32
1078,J1718-3714,hfs+04,7.79e+05,4.8e+32
1079,J1718-3718,hfs+04,3.32e+04,1.7e+33
1080,J1718-3825,mlc+01,8.95e+04,1.3e+36
1081,J1718-4539,lfl+06,1.25e+06,1.4e+33
1082,J1719-1438,bbb+11a,1.24e+10,1.5e+33
1083,J1719-23,bbb+12,*,*
1084,J1719-4006,jlm+92,1.8e+06,9.7e+33
1085,J1719-4302,kbm+03,9.52e+06,1.2e+33
1086,J1720-0212,mlt+78,9.14e+07,3.0e+31
1087,J1720-1633,stwd85,4.28e+06,6.0e+31
1088,J1720+2150,fcwa95,3.46e+07,6.9e+30
1089,J1720-2446,bbb+12,2.34e+07,3.5e+31
1090,J1720-2933,dls72,1.32e+07,1.2e+32
1091,J1720-3659,mlc+01,1.7e+08,3.0e+31
1092,J1721-1936,lbhb93,9.8e+06,6.3e+31
1093,J1721-1939,ebvb01,4.99e+07,7.7e+31
1094,J1721-2457,eb01b,1e+10,5.1e+33
1095,J1721-3532,jlm+92,1.76e+05,4.5e+34
1096,J1722-3207,dls72,1.17e+07,2.3e+32
1097,J1722-3632,jlm+92,1.42e+06,2.8e+33
1098,J1722-3712,mlt+78,3.45e+05,3.3e+34
1099,J1722-4400,lfl+06,9.26e+06,1.4e+33
1100,J1723-28,fsk+04,*,*
1101,J1723-2852,eklk13,1.1e+07,1.5e+32
1102,J1723-3659,mlc+01,4.01e+05,3.8e+34
1103,J1724-3149,hfs+04,2.07e+06,3.4e+32
1104,J1724-35,ekl09,*,*
1105,J1724-3505,mlc+01,9.17e+05,4.6e+32
1106,J1724-4500,lfl+06,5.9e+06,6.2e+31
1107,J1725-0732,crh+06a,8.85e+06,1.2e+33
1108,J1725-2852,lfl+06,1e+07,4.0e+31
1109,J1725-3546,mlc+01,1.09e+06,5.4e+32
1110,J1725-3848,kbm+03,1.42e+06,1.0e+32
1111,J1725-3853,mlb+12,1.52e+09,1.8e+34
1112,J1725-4043,kbm+03,8.32e+06,3.5e+31
1113,J1726-29,fsk+04,*,*
1114,J1726-31,kek+13,*,*
1115,J1726-3530,mlc+01,1.45e+04,3.5e+34
1116,J1726-3635,mlc+01,3.16e+06,2.4e+33
1117,J1726-4006,hfs+04,4.2e+06,1.9e+32
1118,J1727-2739,hfs+04,1.86e+07,2.0e+31
1119,J1727-29,kle+10,*,*
1120,J1728-0007,stwd85,5.45e+06,7.7e+32
1121,J1728-3733,mlc+01,1.35e+08,1.2e+31
1122,J1728-4028,lfl+06,5.9e+07,1.4e+31
1123,J1730-2304,lnl+95,6.38e+09,1.5e+33
1124,J1730-2900,lfl+06,2.75e+06,9.6e+31
1125,J1730-3350,jlm+92,2.6e+04,1.2e+36
1126,J1730-3353,hfs+04,2.36e+06,2.5e+31
1127,J1731-1847,kjv+10,1.49e+09,7.6e+34
1128,J1731-3123,hfs+04,7.11e+06,1.6e+32
1129,J1731-4744,lvw68,8.04e+04,1.1e+34
1130,J1732-1930,lml+98,4.22e+07,6.3e+31
1131,J1732-3131,aaa+09c,1.11e+05,1.5e+35
1132,J1732-3426,lfl+06,1.31e+07,4.3e+32
1133,J1732-3729,kbm+03,2.66e+07,4.9e+30
1134,J1732-4128,mlt+78,7.75e+05,2.0e+33
1135,J1732-4156,hfs+04,7.75e+06,7.7e+32
1136,J1732-5049,eb01b,5.92e+09,3.7e+33
1137,J1733-2228,dls73,3.23e+08,2.5e+30
1138,J1733-2533,lfl+06,4.98e+06,2.9e+32
1139,J1733-2837,lfl+06,1.1e+07,9.6e+31
1140,J1733-3030,hfs+04,3.48e+06,1.4e+33
1141,J1733-3322,mhl+02,4.81e+06,8.4e+31
1142,J1733-3716,jlm+92,3.55e+05,1.5e+34
1143,J1733-4005,hfs+04,2.46e+06,8.1e+32
1144,J1733-5515,bbb+12,4.01e+07,1.5e+31
1145,J1734-0212,dtws85,3.16e+07,2.8e+31
1146,J1734-2415,lfl+06,9.24e+06,1.8e+32
1147,J1734-3333,mhl+02,8.13e+03,5.6e+34
1148,J1735-0243,blr+13,1.96e+07,5.2e+31
1149,J1735-0724,ll76,5.47e+06,6.5e+32
1150,J1735-3258,mhl+02,2.13e+05,2.4e+34
1151,J1736+05,cnst96,*,*
1152,J1736-2457,lfl+06,1.22e+07,7.3e+30
1153,J1736-2819,hfs+04,1.69e+06,1.5e+32
1154,J1736-2843,hfs+04,3.4e+06,4.4e+30
1155,J1736-3511,kbm+03,5.07e+06,4.9e+32
1156,J1737-0811,blr+13,8.34e+09,4.3e+33
1157,J1737-3102,mhl+02,3.26e+05,3.2e+33
1158,J1737-3137,mhl+02,5.14e+04,6.0e+34
1159,J1737-3320,hfs+04,5.75e+06,1.6e+32
1160,J1737-3555,jlm+92,1.03e+06,3.8e+33
1161,J1738+0333,jac04a,3.85e+09,4.8e+33
1162,J1738-2330,lfl+06,3.66e+06,4.4e+31
1163,J1738-2647,hfs+04,1.76e+06,2.9e+33
1164,J1738-2955,mhl+02,8.58e+04,3.7e+34
1165,J1738-3107,hfs+04,2.94e+07,7.0e+31
1166,J1738-3211,cjlm87,1.53e+07,6.9e+31
1167,J1738-3316,hfs+04,1.31e+08,9.0e+30
1168,J1739+0612,jbo+09,2.37e+07,4.8e+32
1169,J1739-1313,ebvb01,2.36e+08,1.8e+30
1170,J1739-2903,cl86,6.49e+05,9.2e+33
1171,J1739-3023,mhl+02,1.59e+05,3.0e+35
1172,J1739-3049,mhl+02,1.74e+06,6.3e+33
1173,J1739-3131,cl86,4.51e+05,4.9e+33
1174,J1739-3159,mhl+02,7.05e+07,1.2e+31
1175,J1739-3951,lfl+06,2.73e+08,2.0e+31
1176,J1740+1000,mca00,1.14e+05,2.3e+35
1177,J1740+1311,mlt+78,8.77e+06,1.1e+32
1178,J1740-2540,hfs+04,1.45e+07,1.5e+31
1179,J1740-3015,cl86,2.06e+04,8.2e+34
1180,J1740-3052,sml+01,3.54e+05,5.4e+33
1181,J1740-3327,hfs+04,2.09e+06,1.1e+33
1182,J1740-5340A,dlm+01,3.44e+08,1.4e+35
1183,J1741-0840,mlt+78,1.42e+07,1.1e+31
1184,J1741+1351,jbo+07,*,*
1185,J1741-2019,ebvb01,3.8e+06,1.1e+31
1186,J1741-2054,aaa+09c,3.86e+05,9.5e+33
1187,J1741-2719,lfl+06,6.82e+07,7.6e+31
1188,J1741-2733,mhl+02,9.59e+07,8.2e+30
1189,J1741+2758,fcwa95,1.17e+07,2.9e+31
1190,J1741-2945,mhl+02,5.58e+06,2.2e+33
1191,J1741-3016,mhl+02,3.34e+06,5.2e+31
1192,J1741-3927,mlt+78,4.2e+06,5.7e+32
1193,J1742-3957,lfl+06,1.97e+08,3.1e+30
1194,J1742-4616,ebvb01,1.93e+08,1.9e+31
1195,J1743-0339,mlt+78,4.53e+06,7.0e+32
1196,J1743-1351,stwd85,1.34e+07,2.8e+32
1197,J1743-2442,hfs+04,4.17e+07,9.7e+30
1198,J1743-3150,jlm+92,3.17e+05,3.4e+32
1199,J1743-3153,mhl+02,2.9e+05,5.8e+34
1200,J1743-4212,ebvb01,6.19e+06,1.1e+33
1201,J1744-1134,bjb+97,7.23e+09,5.2e+33
1202,J1744-1610,ebvb01,1.17e+07,1.7e+31
1203,J1744-2335,lml+98,3.2e+07,6.9e+30
1204,J1744-3130,mhl+02,7.96e+05,6.9e+32
1205,J1744-3922,fsk+04,1.76e+09,1.2e+31
1206,J1744-5337,bbb+12,2.97e+07,1.7e+32
1207,J1745-0129,ebvb01,2.62e+07,2.2e+31
1208,J1745-0952,eb01b,3.32e+09,5.0e+32
1209,J1745+1017,bgc+13,1.54e+10,5.8e+33
1210,J1745-2229,hfs+04,6.44e+06,7.2e+31
1211,J1745-2910,dcl09,*,*
1212,J1745-2912,jkl+06,*,*
1213,J1745-3040,kac+73,5.46e+05,8.5e+33
1214,J1745-3812,bbb+12,4.56e+06,2.8e+32
1215,J1746+2245,clm+05,1.12e+07,4.7e+30
1216,J1746+2540,fcwa95,1.6e+07,3.5e+31
1217,J1746-2849,dcl09,1.84e+06,1.6e+32
1218,J1746-2850,dcl09,1.27e+04,4.2e+34
1219,J1746-2856,jkl+06,1.2e+06,5.8e+32
1220,J1746-3239,pga+12,4.82e+05,3.3e+34
1221,J1747-1030,bbb+12,5.82e+07,4.3e+30
1222,J1747-2647,kel+09,5.99e+05,4.2e+33
1223,J1747-2802,mhl+02,1.86e+07,4.3e+30
1224,J1747-2809,crgl09,5.31e+03,4.3e+37
1225,J1747-2958,cmgl02,2.55e+04,2.5e+36
1226,J1747-4036,kcj+12,*,*
1227,J1748-1300,mlt+78,5.15e+06,7.8e+32
1228,J1748-2021A,mlj+89b,1.15e+07,6.6e+32
1229,J1748-2021B,frb+08,*,*
1230,J1748-2021C,frb+08,*,*
1231,J1748-2021D,frb+08,3.64e+08,9.4e+33
1232,J1748-2021E,frb+08,8.25e+08,2.9e+33
1233,J1748-2021F,frb+08,*,*
1234,J1748-2444,lmd+90,6.3e+07,5.1e+31
1235,J1748-2446A,lmd+90,*,*
1236,J1748-2446aa,fre08,*,*
1237,J1748-2446ab,fre08,*,*
1238,J1748-2446ac,fre08,*,*
1239,J1748-2446ad,hrs+06,*,*
1240,J1748-2446ae,fre08,*,*
1241,J1748-2446af,fre08,*,*
1242,J1748-2446ag,fre08,*,*
1243,J1748-2446ah,fre08,*,*
1244,J1748-2446ai,fre08,*,*
1245,J1748-2446C,lmbm00,*,*
1246,J1748-2446D,rhs+05,*,*
1247,J1748-2446E,rhs+05,*,*
1248,J1748-2446F,rhs+05,*,*
1249,J1748-2446G,rhs+05,*,*
1250,J1748-2446H,rhs+05,*,*
1251,J1748-2446I,rhs+05,*,*
1252,J1748-2446J,rhs+05,*,*
1253,J1748-2446K,rhs+05,*,*
1254,J1748-2446L,rhs+05,*,*
1255,J1748-2446M,rhs+05,*,*
1256,J1748-2446N,rhs+05,*,*
1257,J1748-2446O,rhs+05,*,*
1258,J1748-2446P,rhs+05,*,*
1259,J1748-2446Q,rhs+05,*,*
1260,J1748-2446R,rhs+05,*,*
1261,J1748-2446S,rhs+05,*,*
1262,J1748-2446T,rhs+05,*,*
1263,J1748-2446U,rhs+05,*,*
1264,J1748-2446V,rhs+05,*,*
1265,J1748-2446W,rhs+05,*,*
1266,J1748-2446X,rhs+05,*,*
1267,J1748-2446Y,rhs+05,*,*
1268,J1748-2446Z,fre08,*,*
1269,J1748-3009,kek+13,*,*
1270,J1749-2347,hfs+04,5.72e+06,1.4e+32
1271,J1749-2629,mhl+02,1.23e+07,2.8e+31
1272,J1749-3002,jlm+92,1.23e+06,1.4e+33
1273,J1749-4931,bbb+12,1.2e+07,2.6e+32
1274,J1749-5605,mlt+78,9.96e+06,3.5e+31
1275,J1750-2043,lfl+06,1.12e+07,1.8e+30
1276,J1750-2438,mhl+02,1.05e+06,1.2e+33
1277,J1750-2444,hfs+04,5.4e+07,1.4e+31
1278,J1750-2536,kek+13,*,*
1279,J1750-3157,jlm+92,7.34e+07,1.0e+31
1280,J1750-3503,mld+96,2.84e+08,4.7e+30
1281,J1750-3703A,dpm+01a,3.12e+08,1.6e+32
1282,J1750-3703B,frb+08,5.02e+09,3.4e+33
1283,J1750-3703C,frb+08,*,*
1284,J1750-3703D,frb+08,1.65e+08,1.4e+35
1285,J1751-2516,mhl+02,2.37e+06,1.7e+33
1286,J1751-2857,sfl+05,5.51e+09,7.4e+33
1287,J1751-3323,kbm+03,9.84e+05,2.1e+33
1288,J1751-4657,wvl69,9.11e+06,1.2e+32
1289,J1752+2359,fcwa95,1.01e+07,3.7e+32
1290,J1752-2410,hfs+04,4.9e+06,3.5e+33
1291,J1752-2806,tv68,1.1e+06,1.8e+33
1292,J1752-2821,mhl+02,2.93e+06,5.2e+32
1293,J1753-12,bb10,*,*
1294,J1753-1914,lfl+06,4.93e+08,3.2e+32
1295,J1753-2240,kkl+09,1.91e+09,3.6e+31
1296,J1753-2501,cl86,5.93e+05,3.8e+33
1297,J1753-38,bb10,*,*
1298,J1754-2422,kjv+10,3.99e+07,3.6e+30
1299,J1754-30,mll+06,*,*
1300,J1754-3443,hfs+04,1e+07,4.8e+32
1301,J1754-3510,lfl+06,7.96e+06,5.1e+32
1302,J1754+5201,dtws85,2.42e+07,4.5e+30
1303,J1755-0903,bbb+12,3.87e+06,4.4e+33
1304,J1755-1650,lfl+06,1.69e+07,6.9e+31
1305,J1755-2025,kel+09,1.15e+06,5.2e+33
1306,J1755-2521,mhl+02,2.07e+05,2.2e+33
1307,J1755-25211,hfs+04,5.1e+05,1.2e+33
1308,J1755-2534,hfs+04,3.3e+05,3.5e+34
1309,J1755-2725,mhl+02,3.02e+08,3.0e+31
1310,J1755-33,kek+13,*,*
1311,J1756+18,naf03,*,*
1312,J1756-2225,hfs+04,1.22e+05,3.1e+34
1313,J1756-2251,fsk+04,4.43e+08,1.7e+33
1314,J1756-2435,cl86,3.73e+07,3.7e+31
1315,J1756-2619,kel+09,9.27e+06,1.3e+32
1316,J1757-15,bbb+12,*,*
1317,J1757-2223,mhl+02,3.75e+06,4.9e+33
1318,J1757-2421,kom74,2.87e+05,4.0e+34
1319,J1757-5322,eb01,5.34e+09,1.5e+33
1320,J1758-1931,hfs+04,6.49e+05,2.0e+33
1321,J1758-2206,mhl+02,7.13e+06,4.7e+32
1322,J1758-2540,mhl+02,2.15e+07,6.6e+30
1323,J1758-2630,mhl+02,3.69e+06,1.2e+32
1324,J1758-2846,lfl+06,1.29e+08,8.2e+30
1325,J1758+3030,cnst96,2.08e+07,3.3e+31
1326,J1759-1029,bbb+12,2.53e+06,3.9e+31
1327,J1759-1736,lfl+06,4.96e+07,2.0e+31
1328,J1759-1903,hfs+04,3.78e+06,3.1e+32
1329,J1759-1940,mhl+02,4.32e+07,2.2e+32
1330,J1759-1956,mhl+02,2.43e+06,3.2e+31
1331,J1759-2205,mlt+78,6.72e+05,4.4e+33
1332,J1759-2302,mhl+02,1.2e+06,8.0e+32
1333,J1759-2307,mhl+02,2.35e+06,8.5e+32
1334,J1759-2549,mhl+02,1.52e+05,4.5e+33
1335,J1759-2922,lml+98,1.97e+06,9.6e+32
1336,J1759-3107,hfs+04,4.54e+06,1.2e+32
1337,J1800-0125,crh+06a,1.08e+06,9.5e+32
1338,J1800-2114,hfs+04,5.18e+07,3.7e+30
1339,J1800-2343,moh83,*,*
1340,J1801-0357,stwd85,4.41e+06,1.7e+32
1341,J1801-0857A,lrfs11,*,*
1342,J1801-0857B,lrfs11,2.09e+08,3.6e+33
1343,J1801-0857C,lrfs11,*,*
1344,J1801-0857D,lrfs11,9.71e+09,3.6e+33
1345,J1801-1417,fsk+04,1.08e+10,4.4e+33
1346,J1801-1855,mhl+02,2.22e+08,4.3e+29
1347,J1801-1909,mhl+02,2.5e+07,2.0e+31
1348,J1801-2115,hfs+04,4.46e+08,7.3e+30
1349,J1801-2154,hfs+04,3.72e+05,1.2e+34
1350,J1801-2304,mdt85,5.83e+04,6.2e+34
1351,J1801-2451,mdt85,1.55e+04,2.6e+36
1352,J1801-2920,jlm+92,5.21e+06,1.0e+32
1353,J1801-3210,kjv+10,4.46e+10,2.5e+32
1354,J1801-3458,lfl+06,5.52e+07,5.9e+30
1355,J1802+0128,ebvb01,4.16e+06,4.9e+32
1356,J1802-05,bbb+12,*,*
1357,J1802-1745,mhl+02,1.45e+07,1.6e+32
1358,J1802-2124,fsk+04,2.76e+09,1.4e+33
1359,J1802-2426,mhl+02,1.05e+06,1.8e+33
1360,J1802-3346,kjv+10,2.95e+07,3.5e+30
1361,J1803-1616,hfs+04,4.8e+06,4.5e+32
1362,J1803-1857,mhl+02,2.99e+06,2.5e+31
1363,J1803-1920,hfs+04,2.13e+07,1.5e+32
1364,J1803-2137,cl86,1.58e+04,2.2e+36
1365,J1803-2149,pga+12,8.63e+04,6.4e+35
1366,J1803-2712,jlm+92,3.1e+08,1.8e+31
1367,J1803-30,dpm+01a,*,*
1368,J1803-3002B,fre08,*,*
1369,J1803-3002C,fre08,*,*
1370,J1803-3329,kjv+10,2.98e+07,5.2e+31
1371,J1804-0735,dbl+93,7.84e+08,1.5e+33
1372,J1804-2228,mhl+02,6.31e+07,3.0e+31
1373,J1804-2717,llb+96,3.62e+09,2.0e+33
1374,J1804-28,kek+13,*,*
1375,J1805+0306,stwd85,3.47e+06,3.8e+33
1376,J1805-0619,ebvb01,7.43e+06,4.1e+32
1377,J1805-1504,lfl+06,6.84e+07,6.6e+30
1378,J1805-2032,mhl+02,7.66e+05,5.0e+33
1379,J1805-2037,mhl+02,3.23e+06,1.5e+33
1380,J1805-2447,hfs+04,1.8e+09,7.9e+29
1381,J1805-2948,bbb+12,1.43e+07,2.4e+32
1382,J1806+1023,ebvb01,1.34e+08,2.0e+31
1383,J1806-1154,stwd85,5.88e+06,3.9e+32
1384,J1806-1618,hfs+04,1.23e+07,1.1e+32
1385,J1806-1920,mhl+02,8.19e+08,9.9e+29
1386,J1806-2125,mhl+02,6.29e+04,4.3e+34
1387,J1807+0756,rtj+96,5.69e+07,5.1e+31
1388,J1807-0847,mlt+78,9.01e+07,2.6e+32
1389,J1807-2459A,rgh+01,*,*
1390,J1807-2459B,cha03,8.06e+08,4.4e+34
1391,J1807-2557,kle+10,8.77e+06,9.3e+30
1392,J1807-2715,mlt+78,1.08e+06,8.5e+32
1393,J1808+00,cnst96,*,*
1394,J1808-0813,mld+96,1.12e+07,7.3e+31
1395,J1808-1020,lfl+06,1.22e+07,1.4e+32
1396,J1808-1517,eklk13,3.23e+06,6.5e+32
1397,J1808-1726,lfl+06,3.29e+08,3.3e+31
1398,J1808-2024,kds+98,218,5.0e+34
1399,J1808-2057,cl86,8.52e+05,8.7e+32
1400,J1808-2701,lfl+06,5.92e+05,1.7e+32
1401,J1808-3249,ebvb01,8.2e+05,5.7e+33
1402,J1809-0119,kjv+10,5.15e+06,2.2e+32
1403,J1809-0743,ebvb01,3.27e+07,1.9e+32
1404,J1809-1429,mhl+02,2.71e+06,2.9e+32
1405,J1809-1850,hfs+04,1.68e+06,2.9e+32
1406,J1809-1917,mhl+02,5.13e+04,1.8e+36
1407,J1809-1943,ims+04,1.13e+04,1.8e+33
1408,J1809-2004,mhl+02,9.46e+05,3.5e+33
1409,J1809-2109,cjlm87,2.91e+06,4.4e+32
1410,J1809-2332,aaa+09c,6.76e+04,4.3e+35
1411,J1809-3547,lml+98,1.14e+08,7.4e+30
1412,J1810-1441,hfs+04,1.44e+08,9.2e+31
1413,J1810+1744,hrm+11,*,*
1414,J1810-1820,mhl+02,4.66e+07,5.7e+32
1415,J1810-2005,clm+01,3.53e+09,1.6e+32
1416,J1810-5338,mlt+78,1.08e+07,8.5e+32
1417,J1811-0154,ebvb01,9.11e+06,8.0e+31
1418,J1811+0702,fcwa95,2.72e+06,1.1e+33
1419,J1811-1049,kek+13,5.2e+07,1.7e+30
1420,J1811-1736,lcm+00,1.83e+09,3.1e+31
1421,J1811-1835,mhl+02,1.4e+06,1.4e+33
1422,J1811-1925,ttdm97,2.33e+04,6.4e+36
1423,J1811-2405,kjv+10,3.1e+09,2.9e+34
1424,J1811-2439,lfl+06,2.22e+07,1.6e+32
1425,J1811-4930,kjv+10,1.01e+07,3.0e+31
1426,J1812+0226,stwd85,3.49e+06,2.8e+32
1427,J1812-1718,cl86,1e+06,4.3e+32
1428,J1812-1733,cjlm87,8.68e+06,2.5e+32
1429,J1812-1910,hfs+04,1.81e+05,1.9e+34
1430,J1812-2102,mhl+02,8.11e+05,5.2e+32
1431,J1812-2526,lfl+06,2.82e+07,2.2e+32
1432,J1812-2748,kjv+10,1.19e+07,9.4e+32
1433,J1812-3039,bbb+12,1.41e+07,1.3e+32
1434,J1813-1246,aaa+09c,4.34e+04,6.2e+36
1435,J1813-1749,gh09b,5.6e+03,5.6e+37
1436,J1813+1822,lwf+04,2.54e+08,2.2e+31
1437,J1813-2113,mhl+02,3.25e+06,1.1e+33
1438,J1813-2242,hfs+04,1.09e+08,5.3e+31
1439,J1813-26,fsk+04,*,*
1440,J1813+4013,dth78,5.79e+06,1.2e+32
1441,J1814-0521,kjv+10,1.82e+07,3.3e+31
1442,J1814-0618,lfl+06,7.47e+07,4.4e+30
1443,J1814+1130,naf03,7.17e+06,1.5e+32
1444,J1814-1649,mhl+02,2.4e+06,2.8e+32
1445,J1814-1744,ckl+00,8.46e+04,4.7e+32
1446,J1815-1738,hfs+04,4.04e+04,3.9e+35
1447,J1815-1910,mhl+02,5.46e+05,7.3e+32
1448,J1816-0755,lfl+06,5.32e+05,2.5e+34
1449,J1816-1446,hfs+04,7.1e+06,2.5e+32
1450,J1816-1729,clj+92,1.71e+06,6.0e+32
1451,J1816-2650,lvw69a,1.41e+08,1.3e+31
1452,J1816-5643,jbo+09,1.79e+09,7.4e+30
1453,J1817-0743,lfl+06,*,*
1454,J1817-1511,hfs+04,2.49e+06,5.0e+33
1455,J1817-1938,bbb+12,9.01e+07,1.7e+30
1456,J1817-2311,moh83,*,*
1457,J1817-3618,mlt+78,3e+06,1.4e+33
1458,J1817-3837,lml+98,1.05e+07,4.0e+32
1459,J1818-01,bbb+12,*,*
1460,J1818-1116,hfs+04,2.26e+06,9.3e+32
1461,J1818-1422,cl86,2.27e+06,3.2e+33
1462,J1818-1448,eklk13,7.25e+05,1.1e+34
1463,J1818-1519,mhl+02,3.63e+06,2.0e+32
1464,J1818-1541,mhl+02,9.02e+05,2.3e+33
1465,J1818-1556,kel+09,2.14e+07,3.2e+31
1466,J1819-0925,hfs+04,4.31e+06,2.0e+32
1467,J1819-1008,hfs+04,3.62e+06,1.9e+33
1468,J1819-1114,eklk13,8.23e+06,8.8e+32
1469,J1819-1131,hfs+04,2.89e+07,1.1e+31
1470,J1819+1305,ebvb01,4.68e+07,1.2e+31
1471,J1819-1318,lfl+06,4.02e+07,6.8e+30
1472,J1819-1408,mhl+02,1.09e+07,1.8e+31
1473,J1819-1458,mll+06,1.17e+05,2.9e+32
1474,J1819-1510,mhl+02,4.57e+08,2.7e+31
1475,J1819-1717,ekl09,1.8e+06,2.2e+33
1476,J1820-0427,vlw69,1.5e+06,1.2e+33
1477,J1820-0509,lfl+06,5.73e+06,9.6e+32
1478,J1820-1346,cl86,3.25e+06,2.3e+32
1479,J1820-1529,hfs+04,1.39e+05,4.0e+34
1480,J1820-1818,jlm+92,5.25e+07,1.2e+32
1481,J1821+0155,rsm+12,1.82e+10,3.0e+31
1482,J1821-0256,lfl+06,1.76e+08,2.1e+31
1483,J1821-0331,kek+13,5.65e+06,1.4e+32
1484,J1821-1419,hfs+04,2.93e+04,7.8e+33
1485,J1821-1432,kel+09,5.65e+06,3.0e+31
1486,J1821+1715,rtj+96,2.48e+07,1.3e+31
1487,J1822+0705,fcwa95,1.24e+07,2.7e+31
1488,J1822-0848,fsk+04,9.84e+07,1.0e+30
1489,J1822-0907,hfs+04,4.35e+07,1.5e+31
1490,J1822+1120,lxf+05,1.21e+07,1.6e+31
1491,J1822-1252,hfs+04,3.87e+05,3.8e+32
1492,J1822-1400,cl86,3.75e+06,3.6e+33
1493,J1822-1606,rei+11,4.37e+05,2.0e+31
1494,J1822-1617,hfs+04,6.99e+06,1.3e+32
1495,J1822-2256,dls72,2.19e+07,8.1e+30
1496,J1822-4209,mld+96,1.58e+07,1.9e+32
1497,J1823-0154,mld+96,1.06e+07,1.0e+32
1498,J1823+0550,mlt+78,5.26e+07,2.1e+31
1499,J1823-1115,cl86,3.22e+06,2.5e+33
1500,J1823-1126,hfs+04,8.01e+05,2.3e+32
1501,J1823-1347,mhl+02,1.02e+06,1.6e+33
1502,J1823-1526,hfs+04,5.7e+06,4.2e+31
1503,J1823-1807,mhl+02,9.31e+07,2.5e+30
1504,J1823-3021A,bbl+94,2.55e+07,8.3e+35
1505,J1823-3021B,bbl+94,2.01e+08,2.2e+31
1506,J1823-3021C,cha03,2.87e+07,1.3e+32
1507,J1823-3021D,lfrj12,*,*
1508,J1823-3021E,fre08,*,*
1509,J1823-3021F,fre08,*,*
1510,J1823-3106,mlt+78,1.54e+06,5.0e+33
1511,J1824-0127,lfl+06,1.01e+07,9.9e+30
1512,J1824-1118,cl86,1.94e+06,1.7e+33
1513,J1824-1159,mhl+02,1.07e+06,4.5e+33
1514,J1824-1423,mhl+02,1.45e+07,3.3e+32
1515,J1824-1500,hfs+04,8.62e+06,4.3e+32
1516,J1824-1945,mlt+78,5.73e+05,3.0e+34
1517,J1824-2233,lfl+06,6.12e+07,7.6e+30
1518,J1824-2328,lfl+06,1.37e+07,2.0e+31
