I,psrj,ref,age,edot
432,J1157-5112,eb01,4.83e+09,6.8e+31
433,J1157-6224,lvw69b,1.61e+06,2.4e+33
434,J1159-6409,kbm+03,4.41e+08,3.2e+30
435,J1159-7910,lml+98,2.95e+06,7.7e+32
436,J1201-6306,kbm+03,2.64e+06,6.8e+32
437,J1202-5820,mlt+78,3.37e+06,9.0e+32
438,J1204-6843,ebvb01,2.25e+07,2.9e+32
439,J1207-5050,rap+12,*,*
440,J1210-5226,zpst00,1.02e+08,3.4e+31
441,J1210-5559,mld+96,6.11e+06,1.3e+33
442,J1210-6550,hfs+04,1.56e+08,2.2e+29
443,J1211-6324,kbm+03,2.67e+07,1.2e+32
444,J1214-5830,kbm+03,2.7e+08,2.8e+30
445,J1215-5328,ebvb01,8.77e+07,1.8e+31
446,J1216-6223,mlc+01,3.52e+05,1.3e+34
447,J1216-6410,fsk+04,3.47e+10,1.4e+33
448,J1220-6318,mlc+01,1.56e+08,6.5e+30
449,J1222-5738,kbm+03,1.14e+08,4.7e+30
450,J1224-6208,mlc+01,4.6e+05,4.0e+33
451,J1224-6407,kac+73,6.92e+05,1.9e+34
452,J1225-5556,mld+96,7.82e+06,7.7e+31
453,J1225-6035,kbm+03,3.45e+07,4.6e+31
454,J1225-6408,mlt+78,7.03e+06,5.1e+32
455,J1226-32,bb10,*,*
456,J1227-6208,mlb+12,*,*
457,J1231-1411,rrc+11,2.56e+09,1.8e+34
458,J1231-4609,jbo+09,3.66e+08,2.2e+30
459,J1231-6303,kbm+03,1.53e+07,2.2e+31
460,J1232-4742,ebvb01,2.12e+09,8.4e+28
461,J1232-6501,clm+01,1.73e+09,4.7e+31
462,J1233-6312,kbm+03,1.29e+06,1.5e+33
463,J1233-6344,kbm+03,3.09e+06,3.5e+32
464,J1235-5516,mlt+78,*,*
465,J1235-6354,kbm+03,2.07e+07,4.6e+32
466,J1236-5033,ebvb01,3e+07,2.4e+32
467,J1237-6725,kbm+03,1.53e+07,9.2e+30
468,J1238+21,rtj+96,1.23e+07,4.1e+31
469,J1239+2453,lan69,2.28e+07,1.4e+31
470,J1239-6832,mlt+78,1.73e+06,2.1e+32
471,J1240-4124,mlt+78,4.67e+06,5.1e+32
472,J1243-5735,kbm+03,9.33e+07,3.0e+31
473,J1243-6423,lvw69a,1.37e+06,3.0e+33
474,J1244-5053,ebvb01,4.36e+06,1.9e+33
475,J1244-6531,kel+09,3.41e+06,7.7e+31
476,J1245-6238,mlc+01,3.31e+06,3.6e+31
477,J1246+22,tdk+93,*,*
478,J1248-6344,kbm+03,1.86e+05,8.6e+34
479,J1249-6507,kbm+03,5.69e+08,5.8e+30
480,J1251-7407,bbb+12,1.42e+07,4.1e+32
481,J1252-6314,mlc+01,1.2e+08,7.7e+30
482,J1253-5820,mld+96,1.93e+06,5.0e+33
483,J1254-6150,kbm+03,4.68e+06,3.9e+33
484,J1255-6131,kbm+03,2.61e+06,5.5e+32
485,J1257-1027,dtws85,2.7e+07,6.1e+31
486,J1259-6741,mlt+78,8.71e+06,1.6e+32
487,J1300+1240,wol90a,8.62e+08,1.9e+34
488,J1301+0833,rap+12,*,*
489,J1301-6305,mlc+01,1.1e+04,1.7e+36
490,J1301-6310,kbm+03,1.86e+05,7.6e+33
491,J1302-32,hrm+11,*,*
492,J1302-63,nj98,*,*
493,J1302-6313,kbm+03,2.42e+06,2.8e+32
494,J1302-6350,jlm+92,3.32e+05,8.2e+35
495,J1303-6305,mlc+01,1.68e+07,7.0e+30
496,J1305-6203,mlc+01,2.11e+05,1.6e+34
497,J1305-6256,mlc+01,3.59e+06,7.6e+32
498,J1305-6455,mlt+78,2.25e+06,8.5e+32
499,J1305-66,kek+13,*,*
500,J1306-6242,kbm+03,2.65e+06,2.4e+32
501,J1306-6617,jlm+92,1.25e+06,2.2e+33
502,J1307-6318,mlc+01,3.72e+06,6.8e+30
503,J1308+2127,hhss02,1.46e+06,4.0e+30
504,J1308-4650,jbo+09,3.19e+07,1.7e+31
505,J1308-5844,lfl+06,8.52e+05,3.4e+33
506,J1309-6415,mlc+01,1.12e+06,1.5e+33
507,J1309-6526,kbm+03,3.43e+08,1.1e+31
508,J1311-1228,dtws85,4.7e+07,6.6e+31
509,J1311-3430,pgf+12,1.94e+09,4.9e+34
510,J1312+0051,rap+12,*,*
511,J1312+1810,kapw91,*,*
512,J1312-5402,mlt+78,7.8e+07,1.5e+31
513,J1312-5516,mlt+78,2.36e+06,3.7e+32
514,J1312-6400,mlc+01,5.65e+07,1.9e+30
515,J1313+0931,lzb+00,1.68e+07,5.2e+31
516,J1314-6101,kbm+03,3.99e+06,1.8e+31
